zip,x,y,city,case,death
35004,406.9118708,365.6539094,MOODY,16034,339
35005,305.0011833,372.0657359,ADAMSVILLE,114709,1924
35006,261.8465667,407.454503,ADGER,114709,1924
35007,342.7678375,468.9970514,ALABASTER,37575,350
35010,536.5157417,535.3518715,ALEXANDER CITY,7079,198
35013,410.3528583,285.3690018,ALLGOOD,10179,176
35014,452.532225,415.9421224,ALPINE,13827,283
35016,426.7752458,166.5128479,ARAB,18338,304
35019,358.7474458,198.8678025,BAILEYTON,15406,293
35020,324.3217083,406.4594427,BESSEMER,114709,1924
35022,308.7024333,428.8494321,BESSEMER,114709,1924
35023,313.3172458,397.0387495,BESSEMER,114709,1924
35031,388.7401042,242.7537641,BLOUNTSVILLE,10179,176
35032,432.02965,453.0037699,BON AIR,13827,283
35033,301.7622958,276.3673477,BREMEN,15406,293
35034,259.3399,520.379352,BRENT,4246,86
35035,310.3725,513.5464706,BRIERFIELD,4246,86
35036,318.9104417,357.4049129,BROOKSIDE,114709,1924
35040,356.2924792,482.7507545,CALERA,37575,350
35042,275.2172833,530.777467,CENTREVILLE,4246,86
35043,369.8024333,442.5839848,CHELSEA,37575,350
35044,427.0210167,455.7757774,CHILDERSBURG,13827,283
35045,370.4786458,553.8588834,CLANTON,6633,162
35046,371.2510125,546.3668281,CLANTON,6633,162
35049,388.6960417,271.3454306,CLEVELAND,10179,176
35051,389.6754042,459.0605598,COLUMBIANA,37575,350
35052,421.5112458,369.1878977,COOK SPRINGS,16034,339
35053,292.4333833,254.513819,CRANE HILL,15406,293
35054,439.4480125,384.2750672,CROPWELL,16034,339
35055,331.2512708,237.7691397,CULLMAN,15406,293
35057,313.3270375,243.639718,CULLMAN,15406,293
35058,351.0609875,212.899185,CULLMAN,15406,293
35060,316.3174125,376.9016934,DOCENA,114709,1924
35061,310.1641333,401.6202095,DOLOMITE,114709,1924
35062,291.7994708,332.3510144,DORA,11180,370
35063,297.1206542,309.2799291,EMPIRE,11180,370
35064,317.1109292,397.9413339,FAIRFIELD,114709,1924
35068,336.4788458,366.1084773,FULTONDALE,114709,1924
35070,351.468125,264.3008878,GARDEN CITY,15406,293
35071,332.2100708,339.7992256,GARDENDALE,114709,1924
35072,482.8417417,502.9359383,GOODWATER,1800,40
35073,341.3351208,351.5426499,GRAYSVILLE,114709,1924
35074,279.38305,466.6597056,GREEN POND,4246,86
35077,333.4900375,257.1187652,HANCEVILLE,15406,293
35078,408.3888458,467.5207136,HARPERSVILLE,37575,350
35079,352.3456542,277.5098149,HAYDEN,10179,176
35080,321.6965625,450.62132,HELENA,37575,350
35082,471.1861333,488.4462082,HOLLINS,2430,68
35083,343.3731583,227.4173886,HOLLY POND,15406,293
35085,354.563075,525.2785559,JEMISON,6633,162
35087,385.5088542,197.0822879,JOPPA,15406,293
35089,479.5723042,534.2887773,KELLYTON,1800,40
35091,341.5544542,323.7285868,KIMBERLY,114709,1924
35094,383.8742333,387.1382907,LEEDS,114709,1924
35096,448.2773542,405.3963485,LINCOLN,13827,283
35097,375.7232583,289.6997439,LOCUST FORK,10179,176
35098,297.2998417,231.0637591,LOGAN,15406,293
35111,292.9274708,442.2145854,MC CALLA,114709,1924
35112,407.1455,342.4036679,MARGARET,16034,339
35114,354.6316167,432.5860106,MAYLENE,37575,350
35115,325.2977417,483.2985542,MONTEVALLO,37575,350
35116,348.7231292,334.5187792,MORRIS,114709,1924
35117,326.9437208,357.142352,MOUNT OLIVE,114709,1924
35118,292.5064292,382.587824,MULGA,114709,1924
35119,347.6008083,353.7381323,NEW CASTLE,114709,1924
35120,423.2586667,352.1597435,ODENVILLE,16034,339
35121,389.9395833,273.7757562,ONEONTA,10179,176
35124,347.9409708,443.8642839,PELHAM,37575,350
35125,434.4926458,368.4405316,PELL CITY,16034,339
35126,372.0049708,333.8197929,PINSON,114709,1924
35127,325.1767167,379.3627604,PLEASANT GROVE,114709,1924
35128,432.4144625,369.7470364,PELL CITY,16034,339
35130,278.1463625,335.8522456,QUINTON,11180,370
35131,449.8724167,337.5115193,RAGLAND,16034,339
35133,383.4332167,304.5989379,REMLAP,10179,176
35135,454.9388208,360.9832493,RIVERSIDE,16034,339
35136,467.7700167,543.6656263,ROCKFORD,1800,40
35139,307.2282,338.5529435,SAYRE,114709,1924
35143,390.5482333,497.5277393,SHELBY,37575,350
35146,419.3729417,339.8695274,SPRINGVILLE,16034,339
35147,391.716575,412.13751,STERRETT,37575,350
35148,293.4720833,326.8057395,SUMITON,11180,370
35149,458.2021875,448.999843,SYCAMORE,13827,283
35150,453.5456625,438.1075996,SYLACAUGA,13827,283
35151,428.3505292,473.4981305,SYLACAUGA,13827,283
35160,469.9999708,420.1234417,TALLADEGA,13827,283
35171,350.2112667,544.655647,THORSBY,6633,162
35172,356.3825625,313.5862293,TRAFFORD,114709,1924
35173,383.5965417,354.8715283,TRUSSVILLE,114709,1924
35175,400.1546417,156.4007277,UNION GROVE,18338,304
35176,398.4638167,400.7513901,VANDIVER,37575,350
35178,388.4120833,439.7124461,VINCENT,37575,350
35179,317.0952625,200.5570615,VINEMONT,15406,293
35180,335.8169292,318.6371239,WARRIOR,114709,1924
35183,438.9169125,500.6819971,WEOGUFKA,1800,40
35184,274.7960458,492.0036305,WEST BLOCTON,4246,86
35186,401.0732958,445.7596608,WILSONVILLE,37575,350
35187,326.1316,497.3130542,WILTON,37575,350
35188,270.0043958,472.392452,WOODSTOCK,4246,86
35203,340.1217375,386.9054632,BIRMINGHAM,114709,1924
35204,334.244975,385.5823279,BIRMINGHAM,114709,1924
35205,345.0773,374.2576906,BIRMINGHAM,114709,1924
35206,360.2332333,375.0793902,BIRMINGHAM,114709,1924
35207,334.3540542,373.4569052,BIRMINGHAM,114709,1924
35208,326.0115542,392.2345412,BIRMINGHAM,114709,1924
35209,340.0582875,400.4790021,BIRMINGHAM,114709,1924
35210,354.4019042,371.6716427,BIRMINGHAM,114709,1924
35211,328.9553208,402.5366527,BIRMINGHAM,114709,1924
35212,351.5488083,379.6991507,BIRMINGHAM,114709,1924
35213,351.5390167,402.9806375,BIRMINGHAM,114709,1924
35214,320.9359458,372.8103303,BIRMINGHAM,114709,1924
35215,340.4838333,381.147519,BIRMINGHAM,114709,1924
35216,345.3209167,376.5905009,BIRMINGHAM,114709,1924
35217,330.5917042,376.4342747,BIRMINGHAM,114709,1924
35218,323.0250958,390.1557246,BIRMINGHAM,114709,1924
35221,322.4082208,403.3840539,BIRMINGHAM,114709,1924
35222,348.7581833,385.8975521,BIRMINGHAM,114709,1924
35223,355.994225,391.8671576,BIRMINGHAM,114709,1924
35224,307.4477292,386.3382612,BIRMINGHAM,114709,1924
35226,334.8980792,417.7679534,BIRMINGHAM,114709,1924
35228,319.7644708,402.8800984,BIRMINGHAM,114709,1924
35229,343.5488208,401.103907,BIRMINGHAM,114709,1924
35233,341.2086125,389.6769668,BIRMINGHAM,114709,1924
35234,335.3138333,388.3414846,BIRMINGHAM,114709,1924
35235,371.1801208,358.2777639,BIRMINGHAM,114709,1924
35242,360.3548458,421.6443795,BIRMINGHAM,37575,350
35243,351.4185792,405.3683789,BIRMINGHAM,114709,1924
35244,312.3339667,429.0512663,BIRMINGHAM,114709,1924
35254,316.3634333,380.500692,BIRMINGHAM,114709,1924
35401,185.4701958,456.7801609,TUSCALOOSA,35073,612
35404,207.9626333,471.7315143,TUSCALOOSA,35073,612
35405,201.0301333,491.510006,TUSCALOOSA,35073,612
35406,198.0238958,433.170599,TUSCALOOSA,35073,612
35441,161.1341833,554.1826748,AKRON,3111,88
35442,94.6195875,458.0241752,ALICEVILLE,3156,84
35443,112.9873833,583.911265,BOLIGEE,1266,44
35444,248.093975,433.7897084,BROOKWOOD,35073,612
35446,154.6981208,459.6353211,BUHL,35073,612
35447,83.7320375,444.7399067,CARROLLTON,3156,84
35452,167.6121542,443.8136364,COKER,35073,612
35453,227.3307458,471.9288129,COTTONDALE,35073,612
35456,217.7196375,499.4057297,DUNCANVILLE,35073,612
35457,150.4189667,443.6508588,ECHOLA,35073,612
35458,145.5025708,425.0667417,ELROD,35073,612
35459,50.67165,613.1905788,EMELLE,1329,38
35460,83.0481875,600.3696975,EPES,1329,38
35461,65.68345,413.5967133,ETHELSVILLE,3156,84
35462,127.6177,558.9825995,EUTAW,1266,44
35463,165.9048792,496.4822835,FOSTERS,35073,612
35464,78.1308125,573.6033581,GAINESVILLE,1329,38
35466,130.9823125,444.4791097,GORDO,3156,84
35469,115.1102167,559.135298,KNOXVILLE,1266,44
35470,80.557775,625.7229456,LIVINGSTON,1329,38
35473,197.3077333,430.1612284,NORTHPORT,35073,612
35474,186.270175,540.2208381,MOUNDVILLE,3111,88
35475,192.8540917,417.1337253,NORTHPORT,35073,612
35476,197.1404917,427.9027516,NORTHPORT,35073,612
35477,60.17818333,549.8360582,PANOLA,1329,38
35480,153.1980375,485.6296006,RALPH,35073,612
35481,98.2609125,438.3784757,REFORM,3156,84
35490,258.2726083,460.7528425,VANCE,35073,612
35501,240.4359125,317.1000594,JASPER,11180,370
35503,242.303575,287.1278067,JASPER,11180,370
35504,256.3863417,311.53765,JASPER,11180,370
35540,232.2863083,207.8266204,ADDISON,4507,103
35541,265.6369208,241.7307343,ARLEY,4507,103
35542,150.9020875,338.1550706,BANKSTON,2923,80
35543,157.6632333,224.1968607,BEAR CREEK,4995,127
35544,102.9495542,278.3012771,BEAVERTON,2233,47
35545,121.5750667,355.1502157,BELK,2923,80
35546,169.9478583,357.8614966,BERRY,2923,80
35548,154.3187917,256.1486508,BRILLIANT,4995,127
35549,213.3065333,323.0311124,CARBON HILL,11180,370
35550,258.3113833,331.028887,CORDOVA,11180,370
35552,76.6456125,259.3742183,DETROIT,2233,47
35553,231.9144208,235.1762884,DOUBLE SPRINGS,4507,103
35554,182.3546833,283.756848,ELDRIDGE,11180,370
35555,143.8930167,336.2967344,FAYETTE,2923,80
35559,166.1214708,293.5824695,GLEN ALLEN,2923,80
35563,143.1292667,245.8742569,GUIN,4995,127
35564,140.3037833,234.8847501,HACKLEBURG,4995,127
35565,203.5467875,220.508158,HALEYVILLE,4507,103
35570,107.7147667,223.5283636,HAMILTON,4995,127
35571,117.0622833,171.6690692,HODGES,5959,105
35572,247.9408333,218.1884506,HOUSTON,4507,103
35574,107.690875,362.6893908,KENNEDY,2233,47
35575,194.2734917,253.2647651,LYNN,4507,103
35576,80.92927083,364.9486236,MILLPORT,2233,47
35577,184.8403958,242.2185633,NATURAL BRIDGE,4507,103
35578,210.5313792,294.5997038,NAUVOO,11180,370
35579,228.7013833,350.1910411,OAKMAN,11180,370
35580,244.0239708,337.9854895,PARRISH,11180,370
35581,134.2024,167.2531586,PHIL CAMPBELL,5959,105
35582,93.39073333,151.4916966,RED BAY,5959,105
35584,287.244975,311.0752708,SIPSEY,11180,370
35585,143.0015833,158.7728465,SPRUCE PINE,5959,105
35586,85.777125,302.4878681,SULLIGENT,2233,47
35587,216.2064333,317.8338187,TOWNLEY,11180,370
35592,89.8232375,333.2135344,VERNON,2233,47
35593,115.5152,163.8791762,VINA,5959,105
35594,143.0763917,250.1329333,WINFIELD,4995,127
35601,303.3712625,127.2098581,DECATUR,20910,378
35603,309.2445,130.1108782,DECATUR,20910,378
35610,248.9640625,28.29472151,ANDERSON,14270,295
35611,282.2336,72.99860302,ATHENS,15328,199
35613,324.6920292,56.18462987,ATHENS,15328,199
35614,290.6137,52.23865787,ATHENS,15328,199
35615,296.5311958,70.49621171,BELLE MINA,15328,199
35616,125.028,80.83763169,CHEROKEE,8840,201
35618,245.78275,95.93412431,COURTLAND,4309,117
35619,291.8954292,149.9997362,DANVILLE,20910,378
35620,307.8748417,38.9773194,ELKMONT,15328,199
35621,354.1197083,173.1466668,EVA,20910,378
35622,322.2511625,174.56253,FALKVILLE,20910,378
35630,167.9791458,46.63542802,FLORENCE,14270,295
35633,157.120775,43.8372148,FLORENCE,14270,295
35634,146.8916167,38.86317347,FLORENCE,14270,295
35640,315.2849792,141.8817681,HARTSELLE,20910,378
35643,250.0419292,105.6340089,HILLSBORO,4309,117
35645,204.3189583,37.031547,KILLEN,14270,295
35646,197.9269583,95.10788918,LEIGHTON,8840,201
35647,282.8032792,23.94583704,LESTER,15328,199
35648,230.8909958,27.86913104,LEXINGTON,14270,295
35649,327.0494708,108.0484599,MOORESVILLE,15328,199
35650,243.8908042,141.5572208,MOULTON,4309,117
35651,209.1049292,144.9926858,MOUNT HOPE,4309,117
35652,239.554075,52.8675944,ROGERSVILLE,14270,295
35653,135.1161583,153.6498863,RUSSELLVILLE,5959,105
35654,175.6466083,147.9509049,RUSSELLVILLE,5959,105
35660,163.4477583,91.59733478,SHEFFIELD,8840,201
35661,165.4088333,74.62108793,MUSCLE SHOALS,8840,201
35670,355.4265042,155.8287381,SOMERVILLE,20910,378
35671,309.8400292,94.50289053,TANNER,15328,199
35672,220.5126125,106.1903758,TOWN CREEK,4309,117
35673,287.0495333,116.7376616,TRINITY,20910,378
35674,155.7754,97.92827644,TUSCUMBIA,8840,201
35677,108.4013583,32.59774602,WATERLOO,14270,295
35739,332.9996708,23.4292826,ARDMORE,15328,199
35740,536.8216333,64.17761696,BRIDGEPORT,9860,184
35741,405.2292708,84.50718407,BROWNSBORO,52231,697
35744,515.7417417,113.7247633,DUTTON,9860,184
35745,461.0404,32.59673811,ESTILLFORK,9860,184
35746,502.2069167,75.90793844,FACKLER,9860,184
35747,441.5463667,160.3104149,GRANT,18338,304
35748,419.3087083,83.64189238,GURLEY,52231,697
35749,360.5941542,56.67245884,HARVEST,52231,697
35750,384.5512292,29.61911671,HAZEL GREEN,52231,697
35751,444.6187958,65.30975311,HOLLYTREE,9860,184
35752,520.32855,62.29786273,HOLLYWOOD,9860,184
35754,375.961,138.3959076,LACEYS SPRING,20910,378
35755,494.3698625,80.90843744,LANGSTON,9860,184
35756,350.6293708,101.6149633,MADISON,52231,697
35757,352.6014125,69.65485791,MADISON,52231,697
35758,352.9313917,86.64597144,MADISON,52231,697
35759,389.524025,43.54643244,MERIDIANVILLE,52231,697
35760,422.9249667,124.3657849,NEW HOPE,52231,697
35761,409.8084417,40.65574338,NEW MARKET,52231,697
35763,407.3808917,83.28307602,OWENS CROSS ROADS,52231,697
35764,438.2528417,88.59930318,PAINT ROCK,9860,184
35765,495.0631125,97.09952153,PISGAH,9860,184
35766,449.1253125,46.20001042,PRINCETON,9860,184
35768,470.4954292,76.58979031,SCOTTSBORO,9860,184
35769,487.3349417,110.0456358,SCOTTSBORO,9860,184
35771,506.4888125,96.54340658,SECTION,9860,184
35772,523.5337542,50.00386696,STEVENSON,9860,184
35773,364.9504667,37.84367138,TONEY,52231,697
35774,483.8831833,84.94864913,TRENTON,9860,184
35775,363.7692,129.1873797,VALHERMOSO SPRINGS,20910,378
35776,483.4270875,77.67304278,WOODVILLE,9860,184
35801,389.3640292,84.72766462,HUNTSVILLE,52231,697
35802,388.5476,99.23200947,HUNTSVILLE,52231,697
35803,393.2190083,117.9983064,HUNTSVILLE,52231,697
35805,375.1808,88.78475882,HUNTSVILLE,52231,697
35806,363.7970083,73.78880533,HUNTSVILLE,52231,697
35808,378.4545458,95.00860993,HUNTSVILLE,52231,697
35810,382.0899958,64.75666189,HUNTSVILLE,52231,697
35811,397.8410667,66.31590038,HUNTSVILLE,52231,697
35816,375.2240792,75.99663462,HUNTSVILLE,52231,697
35824,351.0090917,103.0779463,HUNTSVILLE,52231,697
35896,395.9295375,80.81293787,HUNTSVILLE,52231,697
35901,483.8132708,259.6362752,GADSDEN,19816,500
35903,516.4150167,269.6493682,GADSDEN,19816,500
35904,477.2089875,251.281952,GADSDEN,19816,500
35905,506.6380375,282.0761562,GADSDEN,19816,500
35906,481.6536208,257.2477779,RAINBOW CITY,19816,500
35907,503.5869542,275.9236148,GADSDEN,19816,500
35950,450.9352042,186.5612078,ALBERTVILLE,18338,304
35951,460.4339042,184.5345505,ALBERTVILLE,18338,304
35952,457.2868625,247.8726927,ALTOONA,19816,500
35953,455.8602167,319.8871856,ASHVILLE,16034,339
35954,486.3097542,252.6910117,ATTALLA,19816,500
35956,465.8208875,198.4774889,BOAZ,18338,304
35957,453.4694833,195.0160702,BOAZ,18338,304
35958,567.0238333,34.5392348,BRYANT,9860,184
35959,574.3572042,175.2773909,CEDAR BLUFF,3023,60
35960,578.5823083,237.8215511,CENTRE,3023,60
35966,553.1186875,63.39598189,FLAT ROCK,9860,184
35972,454.3350667,265.1684473,GALLANT,19816,500
35973,585.0273792,171.5849086,GAYLESVILLE,3023,60
35976,444.4439167,178.8607669,GUNTERSVILLE,18338,304
35979,572.8318583,54.32503387,HIGDON,9860,184
35980,430.9790042,212.865924,HORTON,18338,304
35983,547.6798083,229.4674798,LEESBURG,3023,60
35987,450.6297042,286.7256502,STEELE,16034,339
35990,444.394175,251.4890777,WALNUT GROVE,19816,500
36003,356.9980667,656.2384624,AUTAUGAVILLE,9967,148
36005,512.327975,810.2465242,BANKS,4791,106
